Country,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Tolerance and Inclusion,Access to Advanced Education,Undernourishment,Depth of food deficit,Maternal mortality rate,Child mortality rate,Deaths from infectious diseases,Access to piped water,Rural access to improved water source,Access to improved sanitation facilities,Availability of affordable housing,Access to electricity,Quality of electricity supply,Household air pollution attributable deaths,Homicide rate,Level of violent crime,Perceived criminality,Political terror,Traffic deaths,Adult literacy rate,Primary school enrollment,Secondary school enrollment,Gender parity in secondary enrollment,Mobile telephone subscriptions,Internet users,Press Freedom Index,Life expectancy at 60,Premature deaths from non-communicable diseases,Suicide rate,Outdoor air pollution attributable deaths,Wastewater treatment,Biodiversity and habitat,Greenhouse gas emissions,Political rights,Freedom of expression,Freedom of assembly,Private property rights,Freedom over life choices,Freedom of religion,Early marriage,Satisfied demand for contraception,Corruption,Tolerance for immigrants,Tolerance for homosexuals,Discrimination and violence against minorities,Religious tolerance,Community safety net,Years of tertiary schooling,Women's average years in school,Inequality in the attainment of education,Globally ranked universities,Percentage of tertiary students enrolled in globally ranked universities,Depth of food deficit - capped,Adult literacy rate - capped,Secondary school enrollment - capped,Gender parity in secondary enrollment - difference from parity,Mobile telephone subscriptions - capped,Greenhouse gas emissions - capped,Globally ranked universities - bucketed,Percentage of tertiary students enrolled in globally ranked universities - bucketed,Income group
Nepal,88.88,58.04,56.48,75.35,81.43,64.46,63.95,50.98,55.76,54.49,61.58,9.58,7.8,51,258.41,35.8,200.81,24.08,91.77,45.79,0.81,76.3,1.82,113.27,2.9,3,2,2.5,17,64.66,97.11,69.57,1.07,96.75,17.58,32.62,17.39,410.7,7.85,113.24,0,76.59,588.48,24,9,0.7,30,0.81,3,0.29,64.6,29,0.8,0.83,9.5,3,0.84,0.11,3.6,0.41,0,0,51,64.66,69.57,0.07,96.75,588.48,0,0,Low income
Netherlands,99.24,99.27,91.31,90.08,99.22,94.82,80.38,90.17,93.6,88.9,77.73,73.1,5,8,6.92,3.8,27.3,100,100,97.73,0.61,100,6.76,0,0.7,2,2,1,3.4,97.36388889,99.85,132.32,0.98,123.54,93.1,8.76,24.2,236.1,9.6,22.81,99.27,90.38,269.55,40,16,0.87,90,0.91,4,0,84.6,83,0.79,0.88,4.4,3,0.92,0.98,14.69,0.04,26,0.3,8,97.19527778,100,0.02,100,269.55,7,4,High income
New Caledonia,98.78702128,97.57,85.8374,84.57826087,96.47425926,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,6.320689655,32.42934426,93.71,98.45,100,0.5088,59.33,6.023333333,1.558852459,3.3,1.670212766,2.553191489,1.489361702,8.170344828,96.94,96.93701754,106.1520968,1.007868852,98.91,74,23.46236364,22.82844828,281.2,11.40114754,28.9457377,64.73425926,85.33777778,390.9864815,33.28333333,13.82258065,0.785789474,69.81818182,0.805294118,3.387096774,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,3.419354839,0.8948,0.883846154,13.71163636,0.066976744,0,0,11.61818182,96.94,96.92709677,0.047868852,98.91,390.9864815,0,0,High income
New Zealand,99.2,100,85.23,91,97.38,93.05,80.74,83.72,94.08,88.16,83.89,75.09,5,8,11.24,5.7,12,100,100,96.83621212,0.41,100,6.3,0,0.9,1.5,2,1,6,97.36388889,99.06,117.49,1.06,121.83,88.22,10.01,24.71,230.3,10.9,8.97,70.19,92.75,535.21,40,16,0.85,95,0.92,4,0.08,83.7,90,0.89,0.79,3.8,4,0.94,1.19,15.04,0.066976744,15,0.49,8,97.19527778,100,0.06,100,535.21,5,5,High income
Nicaragua,88.49,66.17,66.76,68.87,85.39,67.62,77.15,67.97,40.73,55.72,58.63,26.53,16.6,122,149.77,22.1,39.01,66.32,69.4,67.9,0.42,77.9,3.95,31.87,11.5,3,3,2.5,15.3,82.47,98.41,74.19,1.13,116.11,19.7,28.82,21.87,240.9,7.64,33.39,0,93.72,530.89,14,11,0.44,10,0.7,3,0.3,87.3,26,0.58,0.41,6.7,4,0.85,0.5,9.04,0.29,0,0,122,82.47,74.19,0.13,100,530.89,0,0,Lower middle income
Niger,74.98,22.39,31.24,63.07,37.12,45.68,61.29,39.6,53.73,36.77,41.98,7.85,9.5,56,553.5,95.5,545.94,8.72,48.62,10.88,0.48,14.4,2.444782609,174.5,4.5,4,3,2.5,26.4,19.1,63.28,20.75,0.71,46.5,2.22,24.62,16.16,414.6,8.46,111.31,0,88.33,1660.52,21,11,0.593333333,30,0.69,4,0.61,42.9,35,0.67,0.04,7.7,3,0.68,0.04,1.41,0.35,0,0,56,19.1,20.75,0.29,46.5,1500,0,0,Low income
Nigeria,72.88,30.54,45.25,42.93,62.94,66.04,62.53,61.75,53.13,45.72,36.39,20.01,7,42,813.98,108.8,449.25,2.27,57.29,28.95,0.55,55.6,1.44,109.17,10.1,5,5,4.5,20.5,59.57,65.67,55.7,0.93,82.19,47.44,35.9,14.22,284.9,6.92,68.92,0.15,75.43,332.12,25,9,0.6,30,0.79,3,0.29,31.5,28,0.71,0.07,9.4,1,0.8,0.339375,6.77,0.43,1,0.02,42,59.57,55.7,0.07,82.19,332.12,1,1,Lower middle income
Northern Mariana Islands,98.78702128,87.99,85.8374,84.57826087,96.47425926,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,6.320689655,43.77,84.15,97.53,79.73,0.5088,95.8484,6.023333333,7.39,4.643835616,1.670212766,2.553191489,1.489361702,8.170344828,97.36388889,96.93701754,106.1520968,1.007868852,132.106338,78.7539726,23.46236364,22.82844828,281.2,10.57,30.28,64.73425926,85.33777778,390.9864815,33.28333333,13.82258065,0.785789474,69.81818182,0.805294118,3.387096774,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,3.419354839,0.8948,0.883846154,13.71163636,0.066976744,0,0,11.61818182,97.19527778,96.92709677,0.047868852,98.23126761,390.9864815,0,0,High income
Norway,99.38,99.37,89.27,93.75,98.79,95.8,81.29,88.74,96.32,89.37,81.74,69.39,5,8,4.92,2.6,26.7,100,100,98.06,0.52,100,6.72,0,0.6,1,2,1,3.8,97.36388889,99.88,112.99,0.97,111.12,96.81,8.79,24.16,204.4,9.54,15.97,83.83,82.2,153.42,40,16,0.95,90,0.95,3,0,84.3,85,0.86,0.87,3.8,3,0.95,0.97,15.42,0.02,9,0.29,8,97.19527778,100,0.03,100,153.42,4,4,High income
Oman,97.2,85.51,86.44,78.53,96.26,77.73,75.4,51.98,37.12,62.61,66.55276596,65.348125,5,33,17.14,11.6,59.35,74.38,86.14,96.74,0.5088,97.7,6.21,1.59,1.1,2,2,2,25.4,93.97,99.99,104.23,1.07,159.86,74.17,40.43,20.94,319.7,3.56,62.8,5.42,48.68,740.74,8,5,0.785789474,55,0.91,2,0.04,34.2,45,0.651,0.574888889,3.1,4,0.8948,0.883846154,8.19,0.066976744,1,0.06,33,93.97,100,0.07,100,740.74,1,2,High income
Pakistan,78.34,66.89,57.99,54.3,61.82,48,58.79,48.74,46.18,52.09,22.43,22.91,22,172,177.94,81.1,139.41,38.83,89.91,63.5,0.59,93.6,2.39,120.4,7.8,4,4,4.5,14.2,56.44,80.23,44.53,0.79,66.92,18,48.52,17.82,690.2,3.53,136.32,0.1,70.04,411.86,21,6,0.59,30,0.63,2,0.11,49.6,32,0.46,0.02,9.7,1,0.63,0.19,4.26,0.44,9,0.08,172,56.44,44.53,0.21,66.92,411.86,4,2,Lower middle income
Palau,98.78702128,92.17,85.8374,84.57826087,89.69,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,16.4,32.42934426,95.26,86.01,100,0.5088,59.33,6.023333333,1.558852459,3.1,1.670212766,2.553191489,1.489361702,4.78,99.52,80.3,95.75,0.99,132.106338,78.7539726,23.46236364,18.25,281.2,11.40114754,28.9457377,64.73425926,85.33777778,963.25,37,16,0.785789474,69.81818182,0.805294118,4,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,4,0.8948,0.883846154,13.71163636,0.12,0,0,11.61818182,99,95.75,0.01,98.23126761,963.25,0,0,High income
Panama,93.34,84.46,79.57,74.7,90.52,75.34,82.46,75.17,70.71,65.03,62.96,41.09,9.5,66,94.49,17,58.81,92.13,88.62,74.99,0.52,90.88,5.18,9.41,17.4,3,3,1,10,95.04,97.1,75.5,1.06,174.19,51.21,30.59,24.13,227,6.12,23.59,13.32,87.93,238.52,35,15,0.7,30,0.88,4,0.22,73.9,38,0.57,0.41,5.3,4,0.88,0.89,12.46,0.17,0,0,66,95.04,75.5,0.06,100,238.52,0,0,High income
Papua New Guinea,84.93428571,17.77,60.13487179,54.46,64.53,46.8,32.88,46.06,59.3,51.87,43.62184211,23.08,13.66428571,94.23809524,214.8,57.3,277.28,9.46,32.78,18.92,0.506756757,18.11,3.682,191.82,10.4,5,4,3,16.8,63.43,87.16,40.35,0.76,46.65,7.9,25.81,15.04,1151.8,16.46,88.46,0,46.46,770.52,26,13,0.574285714,20,0.721794872,4,0.16,47.4,28,0.528461538,0.161621622,6.5,3,0.75974359,0.05,6.04,0.11,0,0,94.35714286,63.43,40.35,0.24,46.65,770.52,0,0,Lower middle income
Paraguay,92.1,89.32,64.82,65.77,87.8,73.45,72.13,60.48,60.18,64.99,62.89,30.88,10.4,71,131.72,20.5,60.63,82.94,94.95,88.6,0.35,98.2,2.86,38.06,8.8,4,3,2,20.7,95.54,90.66,76.57,1.07,105.39,48.44,33.63,21.19,390,6.47,37.55,0.74,78.94,790.19,27,12,0.588857143,30,0.77,4,0.13,81.6,30,0.74,0.36,6,3,0.94,0.33,10.21,0.16,0,0,71,95.54,76.57,0.07,100,790.19,0,0,Upper middle income
Peru,94.27,72.01,76,64.06,97.1,72.82,80.78,75.5,73.86,60.96,54.05,44.38,7.5,50,68.36,16.9,101.92,78.25,69.25,76.19,0.5,91.2,4.94,29.53,6.7,3,4,3,13.9,94.37,98.07,95.74,1,109.87,40.9,29.99,21.61,183.1,3.37,37.5,34.65,84.59,269.64,31,15,0.79,40,0.81,3,0.16,64.4,35,0.61,0.34,7.6,4,0.8,0.74,11.57,0.23,3,0.06,50,94.37,95.74,0,100,269.64,2,2,Upper middle income
Philippines,88.65,71.59,68.54,58.74,92.61,67.19,61.04,63.89,63.31,66.69,55.38,47.56,13.5,93,114.15,28,173.69,43.13,90.26,73.93,0.63,87.5,3.99,79.38,9.9,4,4,3.5,10.5,96.62,98.03,88.39,1.1,115.75,40.7,44.66,17.1,527.1,5.92,77.3,2.58,86.16,274.18,27,14,0.65,30,0.9,4,0.05,54.7,35,0.6,0.62,8.1,3,0.82,0.7,11.82,0.12,5,0.03,93,96.62,88.39,0.1,100,274.18,3,1,Lower middle income
Poland,99.23,97.15,78.71,87.65,97.53,82.37,67.12,78.88,79.59,73.44,50.38,63.76,5,8,3.11,5.2,21.3,98.22,96.88,97.21,0.29,100,5.53,9.02,0.7,2,2,1,10.3,99.79,97.42,108.7,0.96,142.69,68,23.89,21.84,393.7,17.41,44.9,57.18,99.76,424.54,37,14,0.75,65,0.82,3,0.02,63.1,62,0.21,0.17,4.9,4,0.89,0.77,14.78,0.06,11,0.17,8,99,100,0.04,100,424.54,5,3,High income
Portugal,99.1,99.89,84.38,90.41,98.11,85.06,80.11,84.71,88.93,78.73,76.17,59.69,5,8,10.15,3.6,37.39,100,100,99.67,0.42,100,6.06,0,0.9,1,2,1.5,7.8,95.43,99.72,116.4,0.98,110.41,68.63,17.27,24.14,238.9,9.72,16.86,54.12,95.78,248.78,39,16,0.88,70,0.83,4,0.05,82.9,62,0.74,0.52,2.7,4,0.89,0.39,11.54,0.06,12,0.49,8,95.43,100,0.02,100,248.78,5,5,High income
Puerto Rico,98.78702128,96.4240625,79.7,84.57826087,85.57,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.47,6.320689655,46.7,93.96650794,97.95269841,99.28,0.51,90.88,5.11,0.01,18.5,1.670212766,2.553191489,1.489361702,8.170344828,93.33,84.88,81.29,1.06,87.09,79.47,23.46236364,22.82844828,281.2,7.04,27.98,64.73425926,85.33777778,390.9864815,33.28333333,16,0.785789474,69.81818182,0.82,3.387096774,0.19,80.3,63,0.82,0.73,4.598113208,3.419354839,0.91,0.883846154,13.71163636,0.066976744,1,0.23,11.61818182,93.33,81.29,0.06,87.09,390.9864815,1,4,High income
Qatar,98.78702128,97.77,86.64,86.1,93.33,84.41,77.91,73.4,45.05,68.35,60.92,47.47,5.125454545,11.43636364,12.63,8,17.17,94.15,100,98.02,0.49,97.7,6.36,0.01,7.2,1,2,1.5,15.2,97.76,94.96,109.41,0.89,159.13,92.88,35.97,21.29,229.2,5.01,50.77,70,58.37,325.28,9,7,0.785789474,65,0.9,2,0.18,62.3,61,0.8,0.574888889,4.6,4,0.84,0.5,10.82,0.066976744,2,0.43,11.61818182,97.76,100,0.11,100,325.28,2,4,High income
Romania,98.29,83.12,75.09,79.54,94.9,78.96,65.57,70.59,71.83,70.06,39.43,54.99,5,8,31.38,11.1,25.6,62.7,100,79.08,0.35,100,4.73,21.73,1.5,2,3,2,8.7,98.76,92.87,92.25,0.99,107.14,55.76,24.29,20.15,462.5,11.06,54.88,15.39,95.77,338.89,35,14,0.75,35,0.78,3,0.03,70.2,48,0.25,0.15,7,3,0.8,0.44,13.8,0.05,4,0.2,8,98.76,92.25,0.01,100,338.89,3,3,Upper middle income
Russian Federation,98.34,83.5,77.57,57.83,98.48,73.37,47.14,69.35,25.42,56.77,36.15,82.08,5,8,24.62,9.6,40.53,87.37,91.25,72.22,0.33,100,5.04,5.91,9.5,3,4,4,18.9,99.72,98.31,100.59,0.98,159.95,70.1,49.03,18.55,609.5,31.19,62.57,72.67,73.7,695.81,5,3,0.42,20,0.63,1,0.08,72.3,29,0.39,0.09,9,2,0.89,1.93,14.67,0.02,35,0.06,8,99,100,0.02,100,695.81,8,2,Upper middle income
Rwanda,73.81,49.82,44.85,61.04,76.07,46.94,62.73,57.59,28.38,73.85,42.36,15.93,31.6,232,290.2,41.7,298.53,9.2,71.9,61.64,0.56,18,4.16,144.97,4.9,3,3,3.5,32.1,71.24,96.67,39.12,1.1,70.48,18,54.61,18.04,435.5,10.8,82.72,0,71.26,404.49,8,4,0.593333333,30,0.91,3,0.04,65.7,54,0.69,0.07,9.1,4,0.66,0.06,5.48,0.29,0,0,232,71.24,39.12,0.1,70.48,404.49,0,0,Low income
Samoa,96.46,92.97,74.66829268,64.90926829,92.8,59.68,62.37,63.09666667,53.034,60.9365,49.3155,41.95813953,5,22,51.29,17.5,70.58,85.35,99.34,91.49,0.441219512,100,4.323421053,54.02,3.2,3.05952381,3.476190476,2.80952381,15.8,99.02,99.47,84.96,1.11,62.37,25.41,18.8,19.24,518.8,10.86,7.13,15.71978261,61.86,400.81,30,14,0.588857143,60,0.7255,4,0.106,36.8,52,0.54195122,0.241081081,4.5,3,0.82195122,0.491081081,13.18,0.162926829,0,0,22,99,84.96,0.11,62.37,400.81,0,0,Upper middle income
San Marino,98.78702128,96.4240625,85.8374,84.57826087,96.47425926,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5,8,14.13192308,2.9,32.42934426,93.96650794,97.95269841,96.83621212,0.5088,100,6.023333333,1.558852459,0,1.670212766,2.553191489,1.489361702,3.2,97.36388889,93.12,94.65,1.03,115.16,49.6,23.46236364,25.01,281.2,11.40114754,28.9457377,64.73425926,85.33777778,390.9864815,38,15,0.785789474,69.81818182,0.805294118,4,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,4,0.8948,0.883846154,13.71163636,0.066976744,0,0,8,97.19527778,94.65,0.03,100,390.9864815,0,0,High income
Sao Tome and Principe,89.86,57.77,60.13487179,63.07775,88.6,61.50731707,64.55,55.00775,49.67641026,56.89425,43.62184211,27.78487805,6.6,40,156.11,47.3,197.87,33.09,93.64,34.71,0.506756757,60.46,3.682,155.78,3.4,3.182926829,3.414634146,3.036585366,31.1,91.75,95.72,86.19,1.13,65.09,25.82,39.62595238,18.3,526.8,3.49,58.9,3.548205128,1.47,394.89,34,15,0.574285714,25,0.721794872,4,0.158717949,52.5,46,0.528461538,0.161621622,4.5,4,0.75974359,0.339375,6.35,0.21,0,0,40,91.75,86.19,0.13,65.09,394.89,0,0,Lower middle income
Saudi Arabia,97.93,89.58,86.39,71.77,90.03,69.17,74.52,72.32,25.17,60.98,48.31,47.26,5,9,11.61,14.5,47.95,66.7,97.03,100,0.52,97.7,6.17,0.56,6.2,1,3,3,27.4,94.84,99.24,108.29,0.76,176.59,69.62,59.72,18.71,219.8,3.34,66.44,54.58,81.69,364.4,3,3,0.785789474,40,0.75,1,0.04,50.5,46,0.8,0.574888889,7.5,2,0.88,0.46,9.61,0.066976744,13,0.17,9,94.84,100,0.24,100,364.4,5,3,High income
Senegal,84.27,55.06,48.84,70.41,66.24,68.44,56.27,56.65,74.75,54.64,56.68,7.46,10,63,315.11,47.2,353.34,53.14,67.33,47.59,0.5,56.5,3.17,140.87,7.9,3,2,2.5,27.2,55.62,73.31,49.65,0.98,99.95,21.69,27.99,16.79,515,14.16,85.85,0.5,93.36,726.07,32,15,0.8,40,0.74,4,0.25,43.9,45,0.82,0.01,6.6,4,0.84,0.1,3.11,0.45,0,0,63,55.62,49.65,0.02,99.95,726.07,0,0,Low income
Serbia,99.04,96.68,76.52,81.8,98.2,80.25,63.44,58.52,69.43,53.29,48.87,54.87,5,8,16.85,6.7,11.85,93.89,98.91,96.43,0.48,100,4.81,36.33,1.3,2,3,1.5,7.7,98,99.21,96.67,1.01,120.52,65.32,27.6,19.75,435.8,15.02,50.09,6.41,61.46,624.24,29,14,0.67,50,0.58,3,0.05,34.8,42,0.56,0.21,7.8,3,0.87,0.54,13,0.08,2,0.41,8,98,96.67,0.01,100,624.24,2,4,Upper middle income
Seychelles,98.78702128,95.79,85.8374,84.57826087,92.54,77.18,67.21,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,13.6,100.29,93.74,95.73,98.4,0.5088,100,4.79,1.5,2.1,1.670212766,2.553191489,1.489361702,8.6,95.32,99.36,81.6,1.07,158.12,58.12,30.6,19.53,418.7,8.44,34.59,64.73425926,80.99,680.28,28,12,0.785789474,50,0.805294118,4,0.034081633,75.61730769,55,0.651,0.574888889,4.5,4,0.8948,0.883846154,11.6,0.066976744,0,0,11.61818182,95.32,81.6,0.07,100,680.28,0,0,High income
Sierra Leone,54.89,21.87,23.34,73.85,71.16,58.91,49.64,54.8,56.83,44.67,50.43,4.82,22.3,160,1359.67,120.4,593.29,5.36,47.82,13.26,0.29,14.2,2.2,210.76,1.9,3,2,2,27.3,48.43,99.8,43.25,0.86,89.53,2.5,29.94,12.99,569.7,10.89,71.76,0,75.46,753.01,28,12,0.66,10,0.67,4,0.31,37.8,30,0.71,0.06,5.9,4,0.66,0.09,2.58,0.5,0,0,160,48.43,43.25,0.14,89.53,753.01,0,0,Low income
Singapore,98.78702128,100,94.28,93.9,85.93,75.07,83.78,87.11,60.85,83.23,69.53,70.62,5.125454545,11.43636364,9.98,2.7,83.46,100,97.95269841,100,0.75,100,6.81,0,0.3,1,2,1,3.6,96.77,79.06,85.53,0.97,146.53,82.1,52.96,25.48,209.2,9.06,32.45,100,72.26,141.59,19,9,0.54,90,0.86,2,0,75.1,84,0.66,0.25,2.8,4,0.92,1.73,13.83,0.066976744,5,0.26,11.61818182,96.77,85.53,0.03,100,141.59,3,4,High income
Sint Maarten (Dutch part),98.78702128,96.4240625,85.8374,84.57826087,96.47425926,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,6.320689655,32.42934426,93.96650794,97.95269841,96.83621212,0.5088,95.8484,6.023333333,1.558852459,4.643835616,1.670212766,2.553191489,1.489361702,8.170344828,97.36388889,96.93701754,106.1520968,1.007868852,132.106338,78.7539726,23.46236364,22.82844828,281.2,11.40114754,28.9457377,64.73425926,85.33777778,390.9864815,33.28333333,13.82258065,0.785789474,69.81818182,0.805294118,3.387096774,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,3.419354839,0.8948,0.883846154,13.71163636,0.066976744,17.06329114,0.23987013,11.61818182,97.19527778,96.92709677,0.047868852,98.23126761,390.9864815,2.987341772,2.666666667,High income
Slovak Republic,98.95,99.02,86.09,88.84,96.4,88.99,69.79,80.31,78.48,68.67,50.02,57.04,5,8,5.64,7.3,26.89,97.79,100,98.82,0.53,100,6.01,3.32,1.1,2,2,1,6.6,97.36388889,96.93701754,91.92,1.01,122.31,77.63,13.26,20.71,370.3,10.21,46.3,54.69,100,292.62,36,15,0.785789474,50,0.64,3,0.01,75.3,51,0.23,0.26,6.5,4,0.92,0.63,13.98,0.02,2,0.2,8,97.19527778,91.92,0.01,100,292.62,2,3,High income
Slovenia,99.41,99.15,84.84,92.81,99.36,84.35,76.31,84.15,79.87,80.85,63.76,67,5,8,8.6,2.6,20.25,98.97,99.4,99.11,0.41,100,6.33,5.28,0.7,1,2,1,6.4,99.71,98.79,110.67,1,113.22,73.1,22.26,23.63,240,14.87,25.85,59.78,100,311.15,39,14,0.76,60,0.9,4,0.01,78,61,0.38,0.46,4.2,4,0.93,0.79,14.19,0.03,2,0.66,8,99,100,0,100,311.15,2,6,High income
Solomon Islands,90.44,46.59,60.13487179,63.07775,81.6875,61.50731707,37.32,55.78,49.67641026,56.89425,43.62184211,27.78487805,11.3,70,114,28.1,140.68,26.15,77.18,29.79,0.506756757,22.81,3.682,149.38,3.8,3.182926829,3.414634146,3.036585366,19.2,80.91642857,80.74,48.44,0.94,72.66,10,39.62595238,17.04,1091.9,18.1,39.07,0,39.97,567.33,27,14,0.574285714,30,0.721794872,4,0.158717949,53.6,42,0.528461538,0.161621622,6.5,4,0.75974359,0.339375,7.85,0.23,0,0,70,80.83880952,48.44,0.06,72.66,567.33,0,0,Lower middle income
Somalia,70.50777778,10.99,35.4775,40.6,63.53806452,32.16,50.35,50.31466667,44.1837931,50.25,43.18428571,12.05137931,24.64074074,185.5555556,731.88,136.8,756.48,20.37,8.79,23.54,0.58,32.71,2.444782609,220.98,5.6,5,5,5,25.4,59.370625,81.43034483,7.35,0.46,52.47,1.76,65.35,16.34,720.8,12.32,75.96,0.187666667,20.91,1167.355667,0,3,0.593333333,23.38709677,0.91,3,0.22,45.3,10,0.55,0.109615385,9.4,2,0.59,0.089090909,1.98,0.44,0,0,185.5555556,59.315,7.35,0.54,52.47,809.3306667,0,0,Low income
South Africa,88.64,73.02,62.82,45.43,86.32,78.83,53.39,60.6,74.71,72.94,60.7,49.65,5,13,138.05,40.5,484.35,72.7,81.4,66.39,0.37,85.4,3.01,38.57,33,5,4,3,25.1,94.6,94.47297872,91.96,1.2,164.51,51.92,21.92,16.55,574.3,15.38,73.88,32.49,75.06,714.22,33,15,0.72,50,0.76,4,0.03,82.9,45,0.64,0.53,6.3,3,0.87,0.11,11.48,0.16,13,0.42,13,94.6,91.96,0.2,100,714.22,5,4,Upper middle income
South Sudan,70.50777778,23.02,35.4775,59.12967742,16.48,48.16375,54.73,50.31466667,44.1837931,46.10566667,29.33,12.05137931,24.64074074,185.5555556,789.21,92.6,698.96,1.8,56.87,6.72,0.19,5.06,2.444782609,183.17,13.9,5,5,5,26.4483871,31.98,30.26,9.52,0.54,67.2521875,9.2084375,44.87,16.53,596.4,11.7,86.2,0.187666667,69.881875,1167.355667,-2,4,0.593333333,23.38709677,0.42,3,0.26516129,14,11,0.59,0.05,9.9,3,0.53,0.089090909,1.19,0.4,0,0,185.5555556,31.98,9.52,0.46,64.8315625,809.3306667,0,0,Low income
Spain,99.37,99.95,86.43,83.37,99.55,86.74,84.92,92.7,84.67,75.36,77.99,72.51,5,8,4.99,4.1,16.58,100,100,99.85,0.48,100,6.21,0,0.7,2,3,1.5,3.7,98.11,99.7,129.81,1,108.2,78.69,19.92,25.21,206.7,6.27,13.86,94.52,96.73,226.94,38,15,0.81,70,0.76,3,0.01,80.3,58,0.81,0.83,5.9,4,0.94,0.96,13.5,0.05,38,0.42,8,98.11,100,0,100,226.94,8,4,High income
Sri Lanka,87.19,78.05,71.29,68.68,95.47,64.22,62.15,69.15,53.6,66.21,34.11,43.76,22,192,30.29,9.8,39.76,33.59,94.95,95.11,0.49,88.66,4.41,45.13,2.9,2,3,4,17.4,92.61,97.33,99.72,1.05,110.59,29.99,44.96,20.65,290.6,28.05,41.86,0,81.98,214.31,24,9,0.57,40,0.87,2,0.09,71.3,36,0.55,0.03,9.2,1,0.86,0.52,11.6,0.13,1,0.05,192,92.61,99.72,0.05,100,214.31,1,2,Lower middle income
St. Kitts and Nevis,98.78702128,92.84,85.8374,84.57826087,96.47425926,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,10.5,32.42934426,91.7,98.3,87.27,0.5088,90.88,6.023333333,1.558852459,33.6,1.670212766,2.553191489,1.489361702,17.2,97.36388889,83.89,90.39,1.05,131.84,75.7,23.46236364,18.82,281.2,11.40114754,28.9457377,64.73425926,85.33777778,315.02,36,15,0.74,69.81818182,0.805294118,4,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,4,0.8948,0.883846154,13.71163636,0.066976744,0,0,11.61818182,97.19527778,90.39,0.05,100,315.02,0,0,High income
St. Lucia,94.30555556,91.5,74.66829268,64.90926829,91.84930233,69.16829787,71.97,63.09666667,82.87,60.9365,49.3155,41.95813953,7.922222222,45.17777778,47.82,14.3,57.96,87.5,95.61,90.54,0.441219512,90.88,4.323421053,7.54,21.6,3.05952381,3.476190476,2.80952381,18.1,94.1487234,94.84,85.14,0.99,101.52,52.35,38.39583333,21.28,398.2,6.63,30.6,15.71978261,71.5248,615.64,39,15,0.74,70,0.7255,4,0.106,74.3,60,0.54195122,0.241081081,6.579166667,4,0.82195122,0.491081081,11.94,0.09,0,0,45.35555556,94.02212766,85.14,0.01,100,615.64,0,0,Upper middle income
St. Martin (French part),98.78702128,96.4240625,85.8374,84.57826087,96.47425926,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,6.320689655,32.42934426,93.96650794,97.95269841,96.83621212,0.5088,90.88,6.023333333,1.558852459,4.643835616,1.670212766,2.553191489,1.489361702,8.170344828,97.36388889,96.93701754,106.1520968,1.007868852,132.106338,78.7539726,23.46236364,22.82844828,281.2,11.40114754,28.9457377,64.73425926,85.33777778,390.9864815,33.28333333,13.82258065,0.785789474,69.81818182,0.805294118,3.387096774,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,3.419354839,0.8948,0.883846154,13.71163636,0.066976744,0,0,11.61818182,97.19527778,96.92709677,0.047868852,98.23126761,390.9864815,0,0,High income
St. Vincent and the Grenadines,95.31,84.8,74.66829268,64.90926829,91.84930233,69.16829787,64.78,63.09666667,82.16,60.9365,49.3155,41.95813953,6.2,45,44.75,18.3,74.95,80.92,95.06,76.14,0.441219512,75.91,4.323421053,7.91,25.6,3.05952381,3.476190476,2.80952381,8.2,94.1487234,99.85,106.44,0.97,103.65,51.77,38.39583333,20.07,535.3,8.3,40.7,15.71978261,71.5248,308.51,37,15,0.75,70,0.7255,4,0.106,79.3,60,0.54195122,0.241081081,6.579166667,4,0.82195122,0.491081081,11.15,0.162926829,0,0,45,94.02212766,100,0.03,100,308.51,0,0,Upper middle income
